Errors for Brill Tagger 'rules.yaml'

             left context |    word/test->gold     | right context
NN point/NN of/IN view/NN |  perpetuates/NN->VBZ   | an/DT insidious/JJ ,/, st
/NN perpetuates/VBZ an/DT |    insidious/NN->JJ    | ,/, stereotyped/JJ perspe
BZ an/DT insidious/JJ ,/, |   stereotyped/NN->JJ   | perspective/NN ./.
blacks/NNS continually/RB |    defined/NN->VBN     | *-1/-NONE- by/IN our/PRP$
                          |    Preston/NN->NNP     | G./NNP Foster/NNP Birming
ton/NNP G./NNP Foster/NNP |   Birmingham/NN->NNP   | ,/, Ala/NNP ./.
er/NNP Birmingham/NNP ,/, |      Ala/NN->NNP       | ./.
NNP Association/NNP of/IN |  Securities/NNP->NNPS  | Dealers/NNPS ,/, the/DT s
S Dealers/NNPS ,/, the/DT | self-regulatory/NN->JJ | organization/NN for/IN th
ities/NNS markets/NNS ,/, |  disciplined/NN->VBD   | a/DT number/NN of/IN firm
Two/CD firms/NNS were/VBD |    expelled/NN->VBN    | *-150/-NONE- from/IN the/
NNS were/VBD expelled/VBN |    *-150/NN->-NONE-    | from/IN the/DT NASD/NNP ,
150/-NONE- from/IN the/DT |      NASD/NN->NNP      | ,/, three/CD were/VBD sus
NNP ,/, three/CD were/VBD |   suspended/VBD->VBN   | or/CC barred/VBN *-1/-NON
- and/CC nine/CD were/VBD |     fined/NN->VBN      | *-151/-NONE- ./.
ine/CD were/VBD fined/VBN |    *-151/NN->-NONE-    | ./.
                First/NNP |  Securities/NNP->NNPS  | Group/NNP of/IN Californi
alifornia/NNP and/CC a/DT |    principal/JJ->NN    | of/IN the/DT firm/NN ,/, 
/DT firm/NN ,/, Louis/NNP |    Fernando/NN->NNP    | Vargas/NNP of/IN Marina/N
/, Louis/NNP Fernando/NNP |     Vargas/NN->NNP     | of/IN Marina/NNP del/DT R
ando/NNP Vargas/NNP of/IN |     Marina/NN->NNP     | del/DT Rey/NNP ,/, Calif.
rgas/NNP of/IN Marina/NNP |       del/NN->DT       | Rey/NNP ,/, Calif./NNP ,/
P of/IN Marina/NNP del/DT |      Rey/NN->NNP       | ,/, Calif./NNP ,/, were/V
P ,/, were/VBD jointly/RB |     fined/NN->VBN      | *-1/-NONE- $/$ 15,000/CD 
,000/CD *U*/-NONE- and/CC |    expelled/NN->VBD    | *-1/-NONE- for/IN alleged
led/VBD *-1/-NONE- for/IN |    alleged/JJ->VBN     | violations/NNS of/IN repo
      Also/RB ,/, Mr./NNP |     Vargas/NN->NNP     | was/VBD barred/VBN *-152/
as/NNP was/VBD barred/VBN |    *-152/NN->-NONE-    | from/IN association/NN wi
ciation/NN with/IN any/DT |      NASD/NN->NNP      | member/NN ./.
ls/NNP ,/, nor/CC Mr./NNP |     Vargas/NN->NNP     | could/MD be/VB reached/VB
ould/MD be/VB reached/VBN |    *-153/NN->-NONE-    | for/IN comment/NN ./.
D no/DT listing/NN for/IN |     either/CC->DT      | party/NN ./.
                          |      J.L./NN->NNP      | Henry/NNP &/CC Co./NNP ,/
                 J.L./NNP |     Henry/NN->NNP      | &/CC Co./NNP ,/, Miami/NN
Miami/NNP ,/, and/CC a/DT |    principal/JJ->NN    | of/IN the/DT firm/NN ,/, 
 of/IN the/DT firm/NN ,/, |     Henry/NN->NNP      | I./NNP Otero/NNP of/IN Mi
/DT firm/NN ,/, Henry/NNP |       I./NN->NNP       | Otero/NNP of/IN Miami/NNP
m/NN ,/, Henry/NNP I./NNP |     Otero/NN->NNP      | of/IN Miami/NNP ,/, were/
P ,/, were/VBD jointly/RB |     fined/NN->VBN      | *-1/-NONE- $/$ 30,000/CD 
,000/CD *U*/-NONE- and/CC |    expelled/NN->VBN    | *-1/-NONE- ,/, for/IN all
NE- ,/, for/IN alleged/JJ |    improper/NN->JJ     | use/NN of/IN a/DT custome
IN alleged/JJ improper/JJ |       use/VB->NN       | of/IN a/DT customer/NN 's
      Also/RB ,/, Mr./NNP |     Otero/NN->NNP      | was/VBD barred/VBN *-154/
ro/NNP was/VBD barred/VBN |    *-154/NN->-NONE-    | from/IN association/NN wi
ciation/NN with/IN any/DT |      NASD/NN->NNP      | member/NN ./.
                          |      J.L./NN->NNP      | Henry/NNP has/VBZ n't/RB 
                 J.L./NNP |     Henry/NN->NNP      | has/VBZ n't/RB any/DT Mia
                  Mr./NNP |     Otero/NN->NNP      | ,/, who/WP *T*-249/-NONE-
/NNP Otero/NNP ,/, who/WP |   *T*-249/NN->-NONE-   | apparently/RB has/VBZ an/
parently/RB has/VBZ an/DT |   unpublished/NN->JJ   | number/NN ,/, also/RB cou
 n't/RB be/VB reached/VBN |    *-155/NN->-NONE-    | ./.
                          |    Biscayne/NN->NNP    | Securities/NNP Corp./NNP 
s/NNP Corp./NNP ,/, of/IN |   Lauderhill/NN->NNP   | ,/, Fla./NNP ,/, and/CC a
 Fla./NNP ,/, and/CC a/DT |    principal/JJ->NN    | of/IN the/DT firm/NN ,/, 
/DT firm/NN ,/, Alvin/NNP |   Rosenblum/NN->NNP    | of/IN Plantation/NNP ,/, 
n/NNP Rosenblum/NNP of/IN |   Plantation/NN->NNP   | ,/, Fla./NNP ,/, were/VBD
P ,/, were/VBD jointly/RB |     fined/NN->VBN      | *-1/-NONE- $/$ 20,000/CD 
d/CC given/VBN *-1/-NONE- |     10-day/NN->JJ      | suspensions/NNS for/IN */
/VBN *-1/-NONE- 10-day/JJ |  suspensions/NN->NNS   | for/IN */-NONE- allegedly
                          |    Biscayne/NN->NNP    | has/VBZ n't/RB any/DT tel
                  Mr./NNP |   Rosenblum/NN->NNP    | ,/, who/WP *T*-250/-NONE-
 Rosenblum/NNP ,/, who/WP |   *T*-250/NN->-NONE-   | apparently/RB has/VBZ an/
parently/RB has/VBZ an/DT |   unpublished/NN->JJ   | phone/NN number/NN ,/, al
 n't/RB be/VB reached/VBN |    *-156/NN->-NONE-    | ./.
                          |     Triton/NN->NNP     | Securities/NNP ,/, of/IN 
 Securities/NNP ,/, of/IN |    Danville/NN->NNP    | ,/, Calif./NNP ,/, and/CC
alif./NNP ,/, and/CC a/DT |    principal/JJ->NN    | of/IN the/DT firm/NN ,/, 
 of/IN the/DT firm/NN ,/, |     Delwin/NN->NNP     | George/NNP Chase/NNP ,/, 
ase/NNP ,/, also/RB of/IN |    Danville/NN->NNP    | ,/, were/VBD jointly/RB f
P ,/, were/VBD jointly/RB |     fined/NN->VBN      | *-1/-NONE- $/$ 10,000/CD 
/VBN *-1/-NONE- 30-day/JJ |  suspensions/NN->NNS   | as/IN part/NN of/IN a/DT 
/IN *-1/-NONE- neither/DT |   admitting/NN->VBG    | nor/CC denying/VBG wrongd
r/DT admitting/VBG nor/CC |    denying/NN->VBG     | wrongdoing/NN ,/, Triton/
ing/VBG wrongdoing/NN ,/, |     Triton/NN->NNP     | and/CC Mr./NNP Chase/NNP 
 and/CC Mr./NNP Chase/NNP |   consented/NN->VBD    | to/TO findings/NNS of/IN 
      Officials/NNS of/IN |     Triton/NN->NNP     | could/MD n't/RB be/VB rea
 n't/RB be/VB reached/VBN |    *-157/NN->-NONE-    | for/IN comment/NN ./.
 Chase/NNP did/VBD n't/RB |     return/VBP->VB     | a/DT telephone/NN call/NN
turn/VB a/DT telephone/NN |      call/VB->NN       | to/TO his/PRP$ office/NN 
                          |     Crane/NN->NNP      | &/CC Co./NNP Securities/N
es/NNP Inc./NNP ,/, of/IN |     Mount/NN->NNP      | Clemens/NNP ,/, Mich./NNP
./NNP ,/, of/IN Mount/NNP |    Clemens/NN->NNP     | ,/, Mich./NNP ,/, and/CC 
its/PRP$ president/NN ,/, |     Glenn/NN->NNP      | R./NNP Crane/NNP ,/, of/I
t/NN ,/, Glenn/NNP R./NNP |     Crane/NN->NNP      | ,/, of/IN Sterling/NNP He
./NNP Crane/NNP ,/, of/IN |    Sterling/NN->NNP    | Heights/NNP ,/, Mich./NNP
hts/NNP ,/, Mich./NNP ,/, |   consented/NN->VBD    | to/TO a/DT joint/JJ fine/
    Without/IN *-1/-NONE- |   admitting/NN->VBG    | or/CC denying/VBG wrongdo
NONE- admitting/VBG or/CC |    denying/NN->VBG     | wrongdoing/NN ,/, they/PR
rongdoing/NN ,/, they/PRP |   consented/NN->VBD    | to/TO findings/NNS of/IN 
NS of/IN escrow/NN and/CC | record-keeping/NN->JJ  | rules/NNS ./.
                  Mr./NNP |     Crane/NN->NNP      | did/VBD n't/RB return/VB 
 Crane/NNP did/VBD n't/RB |     return/VBP->VB     | a/DT call/NN seeking/VBG 
VBD n't/RB return/VB a/DT |      call/VB->NN       | seeking/VBG comment/NN ./
NN ,/, Kenneth/NNP J./NNP |     Canepa/NN->NNP     | ,/, also/RB of/IN New/NNP
N New/NNP Orleans/NNP ,/, |   consented/NN->VBD    | to/TO a/DT $/$ 10,000/CD 
      Also/RB ,/, Mr./NNP |     Canepa/NN->NNP     | received/VBD a/DT two-wee
epa/NNP received/VBD a/DT |    two-week/NN->JJ     | suspension/NN ``/`` in/IN
    Without/IN *-1/-NONE- |   admitting/NN->VBG    | or/CC denying/VBG wrongdo
NONE- admitting/VBG or/CC |    denying/NN->VBG     | wrongdoing/NN ,/, they/PR
rongdoing/NN ,/, they/PRP |   consented/NN->VBD    | to/TO findings/NNS that/I
ed/VBD to/TO findings/NNS |      that/WDT->IN      | they/PRP had/VBD inaccura
 that/IN they/PRP had/VBD |  inaccurately/NN->RB   | represented/VBN the/DT fi
P had/VBD inaccurately/RB |  represented/VBD->VBN  | the/DT firm/NN 's/POS net
VBN the/DT firm/NN 's/POS |       net/JJ->NN       | capital/NN ,/, maintained
tal/NN ,/, maintained/VBD |   inaccurate/NN->JJ    | books/NNS and/CC records/
CC records/NNS ,/, and/CC |     made/VBN->VBD      | other/JJ violations/NNS .
                  Mr./NNP |     Canepa/NN->NNP     | confirmed/VBD 0/-NONE- he
D 0/-NONE- he/PRP had/VBD |   consented/NN->VBN    | to/TO the/DT sanctions/NN
1/-NONE- to/TO comment/VB |     further/JJ->RB     | ./.
                          |   Weatherly/NN->NNP    | Securities/NNP Corp./NNP 
C three/CD of/IN its/PRP$ |   principals/NN->NNS   | --/: Dell/NNP Eugene/NNP 
/PRP$ principals/NNS --/: |      Dell/NN->NNP      | Eugene/NNP Keehn/NNP and/
ncipals/NNS --/: Dell/NNP |     Eugene/NN->NNP     | Keehn/NNP and/CC William/
 --/: Dell/NNP Eugene/NNP |     Keehn/NN->NNP      | and/CC William/NNP Northy
hn/NNP and/CC William/NNP |     Northy/NN->NNP     | Prater/NNP Jr./NNP ,/, bo
CC William/NNP Northy/NNP |     Prater/NN->NNP     | Jr./NNP ,/, both/DT of/IN
Jr./NNP ,/, both/DT of/IN |     Mercer/NN->NNP     | Island/NNP ,/, Wash./NNP 
 both/DT of/IN Mercer/NNP |     Island/NN->NNP     | ,/, Wash./NNP ,/, and/CC 
Mercer/NNP Island/NNP ,/, |     Wash./NN->NNP      | ,/, and/CC Thomas/NNP Alb
/CC Thomas/NNP Albert/NNP |     McFall/NN->NNP     | ,/, of/IN Red/NNP Bank/NN
/NNP ,/, N.J/NNP ./. --/: |   consented/NN->VBD    | to/TO a/DT fine/NN of/IN 
    Without/IN *-1/-NONE- |   admitting/NN->VBG    | or/CC denying/VBG wrongdo
NONE- admitting/VBG or/CC |    denying/NN->VBG     | wrongdoing/NN ,/, they/PR
rongdoing/NN ,/, they/PRP |   consented/NN->VBD    | to/TO findings/NNS that/I
ed/VBD to/TO findings/NNS |      that/WDT->IN      | they/PRP failed/VBD *-2/-
to/TO return/VB funds/NNS |     owed/VBD->VBN      | */-NONE- to/TO customers/
DT limited-partnership/NN |    offering/VBG->NN    | ./.
               *-2/-NONE- |    Reached/NN->VBN     | *-1/-NONE- at/IN his/PRP$
RP$ office/NN ,/, Mr./NNP |     McFall/NN->NNP     | ,/, currently/RB chairman
estor/NN funds/NNS is/VBZ |  inappropriate/NN->JJ  | and/CC inaccurate/JJ ./. 
Z inappropriate/JJ and/CC |   inaccurate/NN->JJ    | ./. ''/''
-NONE- was/VBD rapidly/RB |   rectified/NN->VBN    | *-2/-NONE- ,/, with/IN no
                          |      W.N./NN->NNP      | Whelen/NNP &/CC Co./NNP ,
                 W.N./NNP |     Whelen/NN->NNP     | &/CC Co./NNP ,/, of/IN Ge
NP &/CC Co./NNP ,/, of/IN |   Georgetown/NN->NNP   | ,/, Del./NNP ,/, and/CC i
 of/IN Georgetown/NNP ,/, |      Del./NN->NNP      | ,/, and/CC its/PRP$ presi
sident/NN ,/, William/NNP |       N./NN->NNP       | Whelen/NNP Jr./NNP ,/, al
NN ,/, William/NNP N./NNP |     Whelen/NN->NNP     | Jr./NNP ,/, also/RB of/IN
Jr./NNP ,/, also/RB of/IN |   Georgetown/NN->NNP   | ,/, were/VBD barred/VBN *
-NONE- from/IN *-2/-NONE- |  transacting/NN->VBG   | principal/JJ trades/NNS f
-2/-NONE- transacting/VBG |    principal/NN->JJ    | trades/NNS for/IN 90/CD d
nd/CC were/VBD jointly/RB |     fined/NN->VBN      | *-1/-NONE- $/$ 15,000/CD 
DT firm/NN and/CC Mr./NNP |     Whelen/NN->NNP     | allegedly/RB sold/VBD sec
P Whelen/NNP allegedly/RB |     sold/VBN->VBD      | securities/NNS to/TO the/
curities/NNS to/TO the/DT |     public/JJ->NN      | at/IN unfair/JJ prices/NN
                  Mr./NNP |     Whelen/NN->NNP     | denied/VBD 0/-NONE- the/D
       Mr./NNP Whelen/NNP |    denied/VBN->VBD     | 0/-NONE- the/DT firm/NN h
ractices/NNS of/IN the/DT |      NASD/NN->NNP      | need/VBP improvement/NN .
/DT firm/NN and/CC the/DT |      NASD/NN->NNP      | differ/VBP over/IN the/DT
NN and/CC the/DT NASD/NNP |     differ/NN->VBP     | over/IN the/DT meaning/NN
NP York/NNP ,/, which/WDT |   *T*-251/NN->-NONE-   | is/VBZ 62%-owned/JJ *-1/-
WDT *T*-251/-NONE- is/VBZ |    62%-owned/NN->JJ    | *-1/-NONE- by/IN American
owned/JJ *-1/-NONE- by/IN |    American/JJ->NNP    | Express/NNP Co./NNP ,/, c
-NONE- by/IN American/NNP |    Express/NN->NNP     | Co./NNP ,/, consented/VBD
P Express/NNP Co./NNP ,/, |   consented/NN->VBD    | to/TO a/DT $/$ 10,000/CD 
    Without/IN *-1/-NONE- |   admitting/NN->VBG    | or/CC denying/VBG wrongdo
NONE- admitting/VBG or/CC |    denying/NN->VBG     | wrongdoing/NN ,/, the/DT 
ing/NN ,/, the/DT firm/NN |   consented/NN->VBD    | to/TO findings/NNS that/I
ed/VBD to/TO findings/NNS |      that/WDT->IN      | it/PRP failed/VBD *-2/-NO
spond/VB ``/`` in/IN a/DT |     timely/NN->JJ      | manner/NN ''/'' to/TO the
ner/NN ''/'' to/TO the/DT |      NASD/NN->NNP      | 's/POS requests/NNS for/I
TO the/DT NASD/NNP 's/POS |    requests/NN->NNS    | for/IN information/NN in/
                   The/DT |   following/JJ->VBG    | individuals/NNS were/VBD 
 individuals/NNS were/VBD |     fined/NN->VBN      | *-2/-NONE- as/IN */-NONE-
*-2/-NONE- as/IN */-NONE- |   indicated/VBD->VBN   | *-1/-NONE- and/CC barred/
IN association/NN with/IN |      NASD/NN->NNP      | members/NNS ,/, or/CC ,/,
CC ,/, where/WRB */-NONE- |     noted/VBD->VBN     | *-3/-NONE- *T*-4/-NONE- ,
3/-NONE- *T*-4/-NONE- ,/, |   suspended/VBD->VBN   | *-2/-NONE- ./.
                          |     Except/NN->IN      | where/WRB */-NONE- noted/
ept/IN where/WRB */-NONE- |     noted/VBD->VBN     | *-3/-NONE- *T*-1/-NONE- ,
                          |     Andrew/NN->NNP     | Derel/NNP Adams/NNP ,/, K
               Andrew/NNP |     Derel/NN->NNP      | Adams/NNP ,/, Killeen/NNP
     Andrew/NNP Derel/NNP |     Adams/NN->NNP      | ,/, Killeen/NNP ,/, Texas
P Derel/NNP Adams/NNP ,/, |    Killeen/NN->NNP     | ,/, Texas/NNP ,/, fined/V
een/NNP ,/, Texas/NNP ,/, |     fined/NN->VBN      | *-1/-NONE- $/$ 15,000/CD 
D *U*/-NONE- ;/: John/NNP |    Francis/NN->NNP     | Angier/NNP Jr./NNP ,/, Re
 ;/: John/NNP Francis/NNP |     Angier/NN->NNP     | Jr./NNP ,/, Reddington/NN
NP Angier/NNP Jr./NNP ,/, |   Reddington/NN->NNP   | Shores/NNP ,/, Fla./NNP ,
r./NNP ,/, Reddington/NNP |     Shores/NN->NNP     | ,/, Fla./NNP ,/, $/$ 15,0
D *U*/-NONE- ;/: Mark/NNP |    Anthony/NN->NNP     | ,/, Arlington/NNP Heights
 Mark/NNP Anthony/NNP ,/, |   Arlington/NN->NNP    | Heights/NNP ,/, Ill./NNP 
ension/NN ;/: William/NNP |    Stirlen/NN->NNP     | ,/, Arlington/NNP Heights
lliam/NNP Stirlen/NNP ,/, |   Arlington/NN->NNP    | Heights/NNP ,/, Ill./NNP 
-day/JJ suspension/NN ;/: |      Fred/NN->NNP      | W./NNP Bonnell/NNP ,/, Bo
on/NN ;/: Fred/NNP W./NNP |    Bonnell/NN->NNP     | ,/, Boulder/NNP ,/, Colo.
NN ;/: Michael/NNP J./NNP |     Boorse/NN->NNP     | ,/, Horsham/NNP ,/, Pa./N
NNP J./NNP Boorse/NNP ,/, |    Horsham/NN->NNP     | ,/, Pa./NNP ;/: David/NNP
e/NNP ,/, Horsham/NNP ,/, |      Pa./NN->NNP       | ;/: David/NNP Chiodo/NNP 
,/, Pa./NNP ;/: David/NNP |     Chiodo/NN->NNP     | ,/, Dallas/NNP ,/, $/$ 5,
$ 5,000/CD *U*/-NONE- ,/, |    barred/VBN->VBD     | *-3/-NONE- as/IN a/DT pri
VBD *-3/-NONE- as/IN a/DT |    principal/JJ->NN    | ;/: Camille/NNP Chafic/NN
/IN a/DT principal/NN ;/: |    Camille/NN->NNP     | Chafic/NNP Cotran/NNP ,/,
ncipal/NN ;/: Camille/NNP |     Chafic/NN->NNP     | Cotran/NNP ,/, London/NNP
/: Camille/NNP Chafic/NNP |     Cotran/NN->NNP     | ,/, London/NNP ,/, $/$ 25
William/NNP Curry/NNP ,/, |     fined/NN->VBN      | *-4/-NONE- $/$ 5,000/CD *
$ 5,000/CD *U*/-NONE- ,/, |    ordered/VBD->VBN    | *-4/-NONE- *-2/-NONE- to/
4/-NONE- *-2/-NONE- to/TO |    disgorge/NN->VB     | $/$ 30,000/CD *U*/-NONE- 
 30,000/CD *U*/-NONE- ,/, |    one-year/NN->JJ     | suspension/NN ./.
     John/NNP William/NNP |     Davis/NN->NNP      | ,/, Colonsville/NNP ,/, M
William/NNP Davis/NNP ,/, |  Colonsville/NN->NNP   | ,/, Miss./NNP ,/, fined/V
P ,/, Colonsville/NNP ,/, |     Miss./NN->NNP      | ,/, fined/VBN *-4/-NONE- 
lle/NNP ,/, Miss./NNP ,/, |     fined/NN->VBN      | *-4/-NONE- $/$ 200,000/CD
200,000/CD *U*/-NONE- ;/: |    Jeffrey/NN->NNP     | Gerard/NNP Dompierre/NNP 
U*/-NONE- ;/: Jeffrey/NNP |     Gerard/NN->NNP     | Dompierre/NNP ,/, Valrico
/: Jeffrey/NNP Gerard/NNP |   Dompierre/NN->NNP    | ,/, Valrico/NNP ,/, Fla./
ard/NNP Dompierre/NNP ,/, |    Valrico/NN->NNP     | ,/, Fla./NNP ,/, $/$ 5,00
,000/CD *U*/-NONE- and/CC |     10-day/NN->JJ      | suspension/NN ;/: Eugene/
-day/JJ suspension/NN ;/: |     Eugene/NN->NNP     | Michael/NNP Felten/NNP ,/
/: Eugene/NNP Michael/NNP |     Felten/NN->NNP     | ,/, La/NNP Canada/NNP ,/,
da/NNP ,/, Calif./NNP ,/, |     fined/NN->VBN      | *-3/-NONE- $/$ 25,000/CD 
 25,000/CD *U*/-NONE- ,/, |    ordered/VBD->VBN    | *-3/-NONE- *-2/-NONE- to/
3/-NONE- *-2/-NONE- to/TO |    disgorge/NN->VB     | $/$ 16,072/CD *U*/-NONE- 
,072/CD *U*/-NONE- and/CC |   suspended/VBD->VBN   | *-3/-NONE- one/CD year/NN
-NONE- one/CD year/NN ;/: |     Marion/NN->NNP     | Stewart/NNP Spitler/NNP ,
CD year/NN ;/: Marion/NNP |    Stewart/NN->NNP     | Spitler/NNP ,/, La/NNP Ca
/: Marion/NNP Stewart/NNP |    Spitler/NN->NNP     | ,/, La/NNP Canada/NNP ,/,
,/, La/NNP Canada/NNP ,/, |     fined/NN->VBN      | *-5/-NONE- $/$ 15,000/CD 
 15,000/CD *U*/-NONE- ,/, |    ordered/VBD->VBN    | *-5/-NONE- *-1/-NONE- to/
5/-NONE- *-1/-NONE- to/TO |    disgorge/NN->VB     | $/$ 18,444/CD *U*/-NONE- 
,444/CD *U*/-NONE- and/CC |   suspended/VBD->VBN   | *-5/-NONE- six/CD months/
                  Mr./NNP |     Felten/NN->NNP     | said/VBD ,/, ``/`` We/PRP
`` We/PRP got/VBD what/WP |   *T*-252/NN->-NONE-   | amounted/VBD to/TO a/DT p
BD what/WP *T*-252/-NONE- |    amounted/NN->VBD    | to/TO a/DT parking/NN tic
, and/CC by/IN *-1/-NONE- |  complaining/NN->VBG   | about/IN it/PRP ,/, we/PR
ed/VBD up/RP with/IN a/DT |     sizable/NN->JJ     | fine/NN and/CC suspension
   Victor/NNP Stanley/NNP |    Fishman/NN->NNP     | ,/, Longwood/NNP ,/, Fla.
anley/NNP Fishman/NNP ,/, |    Longwood/NN->NNP    | ,/, Fla./NNP ,/, fined/VB
wood/NNP ,/, Fla./NNP ,/, |     fined/NN->VBN      | *-1/-NONE- $/$ 25,000/CD 
/: William/NNP Harold/NNP |     Floyd/NN->NNP      | ,/, Houston/NNP ,/, $/$ 1
 Harold/NNP Floyd/NNP ,/, |    Houston/NN->NNP     | ,/, $/$ 100,000/CD *U*/-N
U*/-NONE- ;/: Michael/NNP |    Anthony/NN->NNP     | Houston/NNP ,/, Bronx/NNP
: Michael/NNP Anthony/NNP |    Houston/NN->NNP     | ,/, Bronx/NNP ,/, N.Y./NN
thony/NNP Houston/NNP ,/, |     Bronx/NN->NNP      | ,/, N.Y./NNP ,/, $/$ 15,0
 15,000/CD *U*/-NONE- ;/: |      Amin/NN->NNP      | Jalaalwalikraam/NNP ,/, G
D *U*/-NONE- ;/: Amin/NNP | Jalaalwalikraam/NN->NNP | ,/, Glenham/NNP ,/, N.Y./
P Jalaalwalikraam/NNP ,/, |    Glenham/NN->NNP     | ,/, N.Y./NNP ,/, $/$ 60,0
E- ;/: Richard/NNP F./NNP |     Knapp/NN->NNP      | ,/, London/NNP ,/, $/$ 10
-day/JJ suspension/NN ;/: |    Deborah/NN->NNP     | Renee/NNP Martin/NNP ,/, 
ension/NN ;/: Deborah/NNP |     Renee/NN->NNP      | Martin/NNP ,/, St./NNP Lo
*U*/-NONE- ;/: Joseph/NNP |    Francis/NN->NNP     | Muscolina/NNP Jr./NNP ,/,
/: Joseph/NNP Francis/NNP |   Muscolina/NN->NNP    | Jr./NNP ,/, Palisades/NNP
Muscolina/NNP Jr./NNP ,/, |   Palisades/NN->NNP    | Park/NNP ,/, N.J./NNP ,/,
Jr./NNP ,/, Palisades/NNP |      Park/NN->NNP      | ,/, N.J./NNP ,/, $/$ 15,0
NE- ;/: Robert/NNP C./NNP |    Najarian/NN->NNP    | ,/, Brooklyn/NNP Park/NNP
rian/NNP ,/, Brooklyn/NNP |      Park/NN->NNP      | ,/, Minn./NNP ,/, $/$ 15,
Brooklyn/NNP Park/NNP ,/, |     Minn./NN->NNP      | ,/, $/$ 15,000/CD *U*/-NO
;/: Edward/NNP Robert/NNP |    Norwick/NN->NNP     | ,/, Nesconset/NNP ,/, N.Y
obert/NNP Norwick/NNP ,/, |   Nesconset/NN->NNP    | ,/, N.Y./NNP ,/, $/$ 30,0
       Charles/NNP D./NNP |     Phipps/NN->NNP     | Sr./NNP ,/, Hermitage/NNP
les/NNP D./NNP Phipps/NNP |      Sr./NN->NNP       | ,/, Hermitage/NNP ,/, Pa.
NNP ,/, Hermitage/NNP ,/, |      Pa./NN->NNP       | ,/, fined/VBN *-1/-NONE- 
itage/NNP ,/, Pa./NNP ,/, |     fined/NN->VBN      | *-1/-NONE- $/$ 10,000/CD 
 *U*/-NONE- ;/: David/NNP |     Scott/NN->NNP      | Rankin/NNP ,/, Lake/NNP S
- ;/: David/NNP Scott/NNP |     Rankin/NN->NNP     | ,/, Lake/NNP St./NNP Loui
NNP St./NNP Louis/NNP ,/, |      Mo./NN->NNP       | ,/, $/$ 15,000/CD *U*/-NO
 15,000/CD *U*/-NONE- ;/: |     Leigh/NN->NNP      | A./NNP Sanderoff/NNP ,/, 
ONE- ;/: Leigh/NNP A./NNP |   Sanderoff/NN->NNP    | ,/, Gaithersburg/NNP ,/, 
 A./NNP Sanderoff/NNP ,/, |  Gaithersburg/NN->NNP  | ,/, Md./NNP ,/, fined/VBN
 ,/, Gaithersburg/NNP ,/, |      Md./NN->NNP       | ,/, fined/VBN *-2/-NONE- 
sburg/NNP ,/, Md./NNP ,/, |     fined/NN->VBN      | *-2/-NONE- $/$ 45,000/CD 
 45,000/CD *U*/-NONE- ,/, |    ordered/VBD->VBN    | *-2/-NONE- *-3/-NONE- to/
2/-NONE- *-3/-NONE- to/TO |    disgorge/NN->VB     | $/$ 12,252/CD *U*/-NONE- 
 12,252/CD *U*/-NONE- ;/: |     Sandra/NN->NNP     | Ann/NNP Smith/NNP ,/, Rid
*U*/-NONE- ;/: Sandra/NNP |      Ann/NN->NNP       | Smith/NNP ,/, Ridgefield/
NNP Ann/NNP Smith/NNP ,/, |   Ridgefield/NN->NNP   | ,/, N.J./NNP ,/, $/$ 15,0
