Errors for Brill Tagger 'rules.yaml'

             left context |    word/test->gold     | right context
-old/JJ chairman/NN of/IN |    English/NN->NNP     | China/NNP Clays/NNP PLC/N
/IN English/NNP China/NNP |     Clays/NN->NNP      | PLC/NNP ,/, was/VBD named
NNP ,/, was/VBD named/VBN |    *-39/NN->-NONE-     | a/DT nonexecutive/JJ dire
Japanese/JJ investors/NNS |     nearly/NN->RB      | single-handedly/RB bought
J investors/NNS nearly/RB | single-handedly/NN->RB | bought/VBD up/RP two/CD n
rly/RB single-handedly/RB |     bought/NN->VBD     | up/RP two/CD new/JJ mortg
two/CD new/JJ mortgage/NN | securities-based/NN->JJ | mutual/JJ funds/NNS total
ed/JJ mutual/JJ funds/NNS |    totaling/NN->VBG    | $/$ 701/CD million/CD *U*
 Federal/NNP National/NNP |    Mortgage/NN->NNP    | Association/NNP said/VBD 
                   The/DT |   purchases/NN->NNS    | show/VBP the/DT strong/JJ
estors/NNS in/IN U.S./NNP | mortgage-based/NN->JJ  | instruments/NNS ,/, Fanni
.S./NNP mortgage-based/JJ |  instruments/NN->NNS   | ,/, Fannie/NNP Mae/NNP 's
ed/JJ instruments/NNS ,/, |     Fannie/NN->NNP     | Mae/NNP 's/POS chairman/N
uments/NNS ,/, Fannie/NNP |      Mae/NN->NNP       | 's/POS chairman/NN ,/, Da
chairman/NN ,/, David/NNP |       O./NN->NNP       | Maxwell/NNP ,/, said/VBD 
n/NN ,/, David/NNP O./NNP |    Maxwell/NN->NNP     | ,/, said/VBD 0/-NONE- *T*
the/DT funds/NNS were/VBD |    placed/VBD->VBN     | *-40/-NONE- with/IN Japan
s/NNS were/VBD placed/VBN |    *-40/NN->-NONE-     | with/IN Japanese/JJ insti
NONE- with/IN Japanese/JJ |  institutional/NN->JJ  | investors/NNS ./.
           The/DT rest/NN |      went/NN->VBD      | to/TO investors/NNS from/
/TO investors/NNS from/IN |     France/NN->NNP     | and/CC Hong/NNP Kong/NNP 
from/IN France/NNP and/CC |      Hong/NN->NNP      | Kong/NNP ./.
rance/NNP and/CC Hong/NNP |      Kong/NN->NNP      | ./.
                          |    Earlier/NN->JJR     | this/DT year/NN ,/, Japan
Japanese/JJ investors/NNS |    snapped/NN->VBD     | up/RP a/DT similar/JJ ,/,
NS snapped/VBD up/RP a/DT |     similar/NN->JJ     | ,/, $/$ 570/CD million/CD
/CD million/CD *U*/-NONE- | mortgage-backed/NN->JJ | securities/NNS mutual/JJ 
                  That/DT |      fund/VB->NN       | was/VBD put/VBN *-41/-NON
  That/DT fund/NN was/VBD |      put/NN->VBN       | *-41/-NONE- together/RP b
T fund/NN was/VBD put/VBN |    *-41/NN->-NONE-     | together/RP by/IN Blackst
s/VBD put/VBN *-41/-NONE- |    together/RB->RP     | by/IN Blackstone/NNP Grou
/-NONE- together/RP by/IN |   Blackstone/NN->NNP   | Group/NNP ,/, a/DT New/NN
ne/NNP Group/NNP ,/, a/DT |      New/JJ->NNP       | York/NNP investment/NN ba
NS were/VBD assembled/VBN |    *-42/NN->-NONE-     | jointly/RB by/IN Goldman/
assembled/VBN *-42/-NONE- |     jointly/NN->RB     | by/IN Goldman/NNP ,/, Sac
2/-NONE- jointly/RB by/IN |    Goldman/NN->NNP     | ,/, Sachs/NNP &/CC Co./NN
/RB by/IN Goldman/NNP ,/, |     Sachs/NN->NNP      | &/CC Co./NNP of/IN the/DT
P and/CC Japan/NNP 's/POS |     Daiwa/NN->NNP      | Securities/NNPS Co/NNP ./
Daiwa/NNP Securities/NNPS |       Co/NN->NNP       | ./.
        The/DT new/JJ ,/, |   seven-year/NN->JJ    | funds/NNS --/: one/CD off
/JJ funds/NNS --/: one/CD |    offering/NN->VBG    | a/DT fixed-rate/JJ return
 one/CD offering/VBG a/DT |   fixed-rate/NN->JJ    | return/NN and/CC the/DT o
ng/VBG a/DT fixed-rate/JJ |     return/VB->NN      | and/CC the/DT other/JJ wi
/DT other/JJ with/IN a/DT |  floating-rate/NN->JJ  | return/NN linked/VBN */-N
/IN a/DT floating-rate/JJ |     return/VB->NN      | linked/VBN */-NONE- to/TO
loating-rate/JJ return/NN |     linked/NN->VBN     | */-NONE- to/TO the/DT Lon
VBN */-NONE- to/TO the/DT |     London/NN->NNP     | interbank/NN offered/VBD 
T London/NNP interbank/NN |    offered/VBN->VBD    | rate/NN --/: offer/VBP tw
 offered/VBD rate/NN --/: |     offer/VB->VBP      | two/CD key/JJ advantages/
/NN --/: offer/VBP two/CD |       key/NN->JJ       | advantages/NNS to/TO Japa
: offer/VBP two/CD key/JJ |   advantages/NN->NNS   | to/TO Japanese/JJ investo
                          |     First/NNP->JJ      | ,/, they/PRP are/VBP desi
t/JJ ,/, they/PRP are/VBP |    designed/NN->VBN    | *-1/-NONE- to/TO eliminat
gned/VBN *-1/-NONE- to/TO |    eliminate/NN->VB    | the/DT risk/NN of/IN prep
 of/IN prepayment/NN --/: | mortgage-backed/NN->JJ | securities/NNS can/MD be/
 can/MD be/VB retired/VBN |    *-43/NN->-NONE-     | early/RB if/IN interest/N
B retired/VBN *-43/-NONE- |      early/JJ->RB      | if/IN interest/NN rates/N
/IN interest/NN rates/NNS |    decline/NN->VBP     | ,/, and/CC such/JJ prepay
/CC such/JJ prepayment/NN |     forces/NN->VBZ     | investors/NNS to/TO redep
s/VBZ investors/NNS to/TO |    redeploy/NN->VB     | their/PRP$ money/NN at/IN
                          |     Second/NN->JJ      | ,/, they/PRP channel/VBP 
   Second/JJ ,/, they/PRP |    channel/NN->VBP     | monthly/JJ mortgage/NN pa
BP monthly/JJ mortgage/NN |    payments/NN->NNS    | into/IN semiannual/JJ pay
e/NN payments/NNS into/IN |   semiannual/NN->JJ    | payments/NNS ,/, *-1/-NON
NNS into/IN semiannual/JJ |    payments/NN->NNS    | ,/, *-1/-NONE- reducing/V
yments/NNS ,/, *-1/-NONE- |    reducing/NN->VBG    | the/DT administrative/JJ 
           By/IN */-NONE- |   addressing/NN->VBG   | those/DT problems/NNS ,/,
 problems/NNS ,/, Mr./NNP |    Maxwell/NN->NNP     | said/VBD 0/-NONE- *T*-1/-
have/VBP become/VBN ``/`` |    extremely/NN->RB    | attractive/JJ to/TO Japan
me/VBN ``/`` extremely/RB |   attractive/NN->JJ    | to/TO Japanese/JJ and/CC 
CC other/JJ investors/NNS |     outside/JJ->IN     | the/DT U.S./NNP ./. ''/''
                          |      Such/NN->JJ       | devices/NNS have/VBP boos
h/JJ devices/NNS have/VBP |    boosted/NN->VBN     | Japanese/JJ investment/NN
se/JJ investment/NN in/IN | mortgage-backed/NN->JJ | securities/NNS to/TO more
 *U*/-NONE- in/IN such/JJ |  instruments/NN->NNS   | outstanding/JJ ,/, and/CC
N such/JJ instruments/NNS |   outstanding/NN->JJ   | ,/, and/CC their/PRP$ pur
/JJ ,/, and/CC their/PRP$ |   purchases/NN->NNS    | are/VBP growing/VBG at/IN
BP growing/VBG at/IN a/DT |      rapid/NN->JJ      | rate/NN ./.
         They/PRP also/RB |      have/VB->VBP      | become/VBN large/JJ purch
e/VBP become/VBN large/JJ |   purchasers/NN->NNS   | of/IN Fannie/NNP Mae/NNP 
e/JJ purchasers/NNS of/IN |     Fannie/NN->NNP     | Mae/NNP 's/POS corporate/
sers/NNS of/IN Fannie/NNP |      Mae/NN->NNP       | 's/POS corporate/JJ debt/
JJ debt/NN ,/, *-2/-NONE- |     buying/NN->VBG     | $/$ 2.4/CD billion/CD *U*
llion/CD *U*/-NONE- in/IN |     Fannie/NN->NNP     | Mae/NNP bonds/NNS during/
*/-NONE- in/IN Fannie/NNP |      Mae/NN->NNP       | bonds/NNS during/IN the/D
/DT tenth/NN of/IN the/DT |      total/NN->JJ      | amount/NN issued/VBN */-N
the/DT total/JJ amount/NN |     issued/NN->VBN     | */-NONE- ./.
                James/NNP |       L./NN->NNP       | Pate/NNP ,/, 54-year-old/
         James/NNP L./NNP |      Pate/NN->NNP      | ,/, 54-year-old/JJ execut
s/NNP L./NNP Pate/NNP ,/, |   54-year-old/NN->JJ   | executive/NN vice/NN pres
/NN ,/, was/VBD named/VBN |    *-44/NN->-NONE-     | a/DT director/NN of/IN th
N concern/NN ,/, */-NONE- |   expanding/NN->VBG    | the/DT board/NN to/TO 14/
e/DT board/NN to/TO 14/CD |    members/NN->NNS     | ./.
                          |      LTV/NN->NNP       | Corp./NNP said/VBD 0/-NON
ptcy/NN court/NN judge/NN |     agreed/NN->VBD     | *-1/-NONE- to/TO extend/V
reed/VBD *-1/-NONE- to/TO |     extend/NN->VB      | until/IN March/NNP 8/CD ,
/, the/DT period/NN in/IN |     which/IN->WDT      | the/DT steel/NN ,/, aeros
company/NN has/VBZ the/DT |    exclusive/NN->JJ    | right/NN */-NONE- to/TO f
J right/NN */-NONE- to/TO |      file/NN->VB       | a/DT reorganization/NN pl
D of/IN the/DT federal/JJ |   Bankruptcy/NN->NNP   | Code/NNP ,/, */-NONE- giv
federal/JJ Bankruptcy/NNP |      Code/NN->NNP      | ,/, */-NONE- giving/VBG i
NNP Code/NNP ,/, */-NONE- |     giving/NN->VBG     | it/PRP court/NN protectio
/NN protection/NN from/IN |   creditors/NN->NNS    | '/POS lawsuits/NNS while/
om/IN creditors/NNS '/POS |    lawsuits/NN->NNS    | while/IN it/PRP attempts/
suits/NNS while/IN it/PRP |   attempts/NNS->VBZ    | *-1/-NONE- to/TO work/VB 
mpts/VBZ *-1/-NONE- to/TO |      work/NN->VB       | out/RP a/DT plan/NN */-NO
 *-1/-NONE- to/TO work/VB |       out/IN->RP       | a/DT plan/NN */-NONE- to/
NE- to/TO pay/VB its/PRP$ |     debts/NN->NNS      | ./.
n/JJ chemical/NN giant/NN |   Montedison/NN->NNP   | S.p.A./NNP ,/, through/IN
N giant/NN Montedison/NNP |     S.p.A./NN->NNP     | ,/, through/IN its/PRP$ M
P ,/, through/IN its/PRP$ |   Montedison/NN->NNP   | Acquisition/NNP N.V./NNP 
N its/PRP$ Montedison/NNP |  Acquisition/NN->NNP   | N.V./NNP indirect/JJ unit
 Acquisition/NNP N.V./NNP |    indirect/NN->JJ     | unit/NN ,/, began/VBD its
/, began/VBD its/PRP$ $/$ |   37-a-share/NN->JJ    | *U*/-NONE- tender/NN offe
e/JJ *U*/-NONE- tender/NN |      offer/VB->NN      | for/IN all/DT the/DT comm
e/DT common/JJ shares/NNS |   outstanding/NN->JJ   | of/IN Erbamont/NNP N.V./N
/NNS outstanding/JJ of/IN |    Erbamont/NN->NNP    | N.V./NNP ,/, a/DT maker/N
of/IN pharmaceuticals/NNS |  incorporated/NN->VBN  | */-NONE- in/IN the/DT Net
VBN */-NONE- in/IN the/DT |  Netherlands/NN->NNPS  | ./.
                   The/DT |      offer/VB->NN      | ,/, advertised/VBN */-NON
      The/DT offer/NN ,/, |   advertised/NN->VBN   | */-NONE- in/IN today/NN '
NE- in/IN today/NN 's/POS |    editions/NN->NNS    | of/IN The/DT Wall/NNP Str
uled/VBN *-1/-NONE- to/TO |     expire/NN->VB      | at/IN the/DT end/NN of/IN
at/IN the/DT end/NN of/IN |    November/NN->NNP    | ./.
/POS common/JJ shares/NNS |   outstanding/NN->JJ   | ./.
                   The/DT |      offer/VB->NN      | is/VBZ being/VBG launched
BZ being/VBG launched/VBN |    *-45/NN->-NONE-     | pursuant/JJ to/TO a/DT pr
 launched/VBN *-45/-NONE- |    pursuant/NN->JJ     | to/TO a/DT previously/RB 
 to/TO a/DT previously/RB |   announced/VBD->VBN   | agreement/NN between/IN t
convertible/JJ foreign/JJ |   currencies/NN->NNS   | ,/, and/CC special/JJ dra
s/NNS fell/VBD by/IN a/DT |      hefty/NN->JJ      | $/$ 1.82/CD billion/CD *U
/CD *U*/-NONE- ,/, the/DT |    Finance/NN->NNP     | Ministry/NNP said/VBD 0/-
          The/DT total/NN |     marks/NN->VBZ      | the/DT sixth/JJ consecuti
total/NN marks/VBZ the/DT |      sixth/NN->JJ      | consecutive/JJ monthly/JJ
marks/VBZ the/DT sixth/JJ |   consecutive/NN->JJ   | monthly/JJ decline/NN ./.
                   The/DT |   protracted/NN->JJ    | downturn/NN reflects/VBZ 
protracted/JJ downturn/NN |    reflects/NN->VBZ    | the/DT intensity/NN of/IN
the/DT intensity/NN of/IN |      Bank/NN->NNP      | of/IN Japan/NNP yen-suppo
 Bank/NNP of/IN Japan/NNP |   yen-support/NN->JJ   | intervention/NN since/IN 
 intervention/NN since/IN |      June/NN->NNP      | ,/, when/WRB the/DT U.S./
e/DT U.S./NNP currency/NN |   temporarily/NN->RB   | surged/VBD above/IN the/D
urrency/NN temporarily/RB |     surged/NN->VBD     | above/IN the/DT 150.00/CD
temporarily/RB surged/VBD |      above/NN->IN      | the/DT 150.00/CD yen/NNS 
above/IN the/DT 150.00/CD |      yen/NN->NNS       | level/NN *T*-1/-NONE- ./.
   The/DT announcement/NN |    follows/NN->VBZ     | a/DT sharper/JJR $/$ 2.2/
ement/NN follows/VBZ a/DT |    sharper/NN->JJR     | $/$ 2.2/CD billion/CD *U*
                 */-NONE- |      Pick/NN->VB       | a/DT country/NN ,/, any/D
JS investment/NN craze/NN |    sweeping/NN->VBG    | Wall/NNP Street/NNP :/: a
a/DT rash/NN of/IN new/JJ |   closed-end/NN->JJ    | country/NN funds/NNS ,/, 
NN funds/NNS ,/, those/DT |    publicly/NN->RB     | traded/VBN portfolios/NNS
 ,/, those/DT publicly/RB |     traded/NN->VBN     | portfolios/NNS that/WDT *
DT publicly/RB traded/VBN |   portfolios/NN->NNS   | that/WDT *T*-37/-NONE- in
N portfolios/NNS that/WDT |   *T*-37/NN->-NONE-    | invest/VBP in/IN stocks/N
NS that/WDT *T*-37/-NONE- |     invest/NN->VBP     | in/IN stocks/NNS of/IN a/
7/-NONE- invest/VBP in/IN |     stocks/NN->NNS     | of/IN a/DT single/JJ fore
/IN stocks/NNS of/IN a/DT |     single/NN->JJ      | foreign/JJ country/NN ./.
                          |       No/DT->RB        | fewer/JJR than/IN 24/CD c
ched/VBN *-2/-NONE- or/CC |  registered/VBD->VBN   | *-2/-NONE- with/IN regula
ed/VBN *-2/-NONE- with/IN |   regulators/NN->NNS   | this/DT year/NN ,/, tripl
s/NNS this/DT year/NN ,/, |     triple/NN->RB      | the/DT level/NN of/IN all
D ,/, according/VBG to/TO |    Charles/NN->NNP     | E./NNP Simon/NNP &/CC Co.
ing/VBG to/TO Charles/NNP |       E./NN->NNP       | Simon/NNP &/CC Co./NNP ,/
 to/TO Charles/NNP E./NNP |     Simon/NN->NNP      | &/CC Co./NNP ,/, a/DT Was
NNP &/CC Co./NNP ,/, a/DT | Washington-based/NN->JJ | research/NN firm/NN ./.
rf/NN recently/RB has/VBZ |     ranged/NN->VBN     | from/IN Chile/NNP to/TO A
as/VBZ ranged/VBN from/IN |     Chile/NN->NNP      | to/TO Austria/NNP to/TO P
N from/IN Chile/NNP to/TO |    Austria/NN->NNP     | to/TO Portugal/NNP ./.
P to/TO Austria/NNP to/TO |    Portugal/NN->NNP    | ./.
                          |      Next/NN->JJ       | week/NN ,/, the/DT Philip
ext/JJ week/NN ,/, the/DT |   Philippine/NN->NNP   | Fund/NNP 's/POS launch/NN
S launch/NN will/MD be/VB |     capped/NN->VBN     | *-46/-NONE- by/IN a/DT vi
 will/MD be/VB capped/VBN |    *-46/NN->-NONE-     | by/IN a/DT visit/NN by/IN
by/IN a/DT visit/NN by/IN |   Philippine/NN->JJ    | President/NNP Corazon/NNP
ilippine/JJ President/NNP |    Corazon/NN->NNP     | Aquino/NNP --/: the/NNP f
President/NNP Corazon/NNP |     Aquino/NN->NNP     | --/: the/NNP first/JJ tim
razon/NNP Aquino/NNP --/: |      the/DT->NNP       | first/JJ time/NN 0/-NONE-
NN of/IN state/NN has/VBZ |     kicked/NN->VBN     | off/RP an/DT issue/NN at/
ate/NN has/VBZ kicked/VBN |       off/IN->RP       | an/DT issue/NN at/IN the/
Z kicked/VBN off/RP an/DT |      issue/VB->NN      | at/IN the/DT Big/NNP Boar
/DT issue/NN at/IN the/DT |      Big/JJ->NNP       | Board/NNP here/RB *T*-1/-
e/NN at/IN the/DT Big/NNP |     Board/NN->NNP      | here/RB *T*-1/-NONE- ./.
 the/DT Big/NNP Board/NNP |      here/NN->RB       | *T*-1/-NONE- ./.
he/DT next/JJ province/NN |        ?/NN->.         | 
        ``/`` Anything/NN |      's/POS->VBZ       | possible/JJ --/: how/WRB 
N 's/VBZ possible/JJ --/: |      how/NN->WRB       | about/RP the/DT New/NNP G
 possible/JJ --/: how/WRB |      about/IN->RP      | the/DT New/NNP Guinea/NNP
: how/WRB about/RP the/DT |      New/JJ->NNP       | Guinea/NNP Fund/NNP ?/. '
B about/RP the/DT New/NNP |     Guinea/NN->NNP     | Fund/NNP ?/. ''/'' quips/
w/NNP Guinea/NNP Fund/NNP |        ?/NN->.         | ''/'' quips/VBZ *T*-1/-NO
ea/NNP Fund/NNP ?/. ''/'' |     quips/NN->VBZ      | *T*-1/-NONE- George/NNP F
'' quips/VBZ *T*-1/-NONE- |     George/NN->NNP     | Foot/NNP ,/, a/DT managin
Z *T*-1/-NONE- George/NNP |      Foot/NN->NNP      | ,/, a/DT managing/VBG par
rge/NNP Foot/NNP ,/, a/DT |    managing/NN->VBG    | partner/NN at/IN Newgate/
ging/VBG partner/NN at/IN |    Newgate/NN->NNP     | Management/NNP Associates
tner/NN at/IN Newgate/NNP |   Management/NN->NNP   | Associates/NNP of/IN Nort
ewgate/NNP Management/NNP |   Associates/NN->NNP   | of/IN Northampton/NNP ,/,
/NNP Associates/NNP of/IN |  Northampton/NN->NNP   | ,/, Mass/NNP ./.
of/IN Northampton/NNP ,/, |      Mass/NN->NNP      | ./.
f/IN country/NN funds/NNS |    mirrors/NN->VBZ     | the/DT ``/`` closed-end/J
 mirrors/VBZ the/DT ``/`` |   closed-end/NN->JJ    | fund/NN mania/NN ''/'' of
he/DT ``/`` closed-end/JJ |      fund/VB->NN       | mania/NN ''/'' of/IN the/
nia/NN ''/'' of/IN the/DT |     1920s/NN->NNS      | ,/, Mr./NNP Foot/NNP says
/DT 1920s/NNS ,/, Mr./NNP |      Foot/NN->NNP      | says/VBZ 0/-NONE- *T*-2/-
*T*-2/-NONE- ,/, when/WRB |    narrowly/NN->RB     | focused/VBN funds/NNS gre
 ,/, when/WRB narrowly/RB |    focused/NN->VBN     | funds/NNS grew/VBD wildly
ed/VBN funds/NNS grew/VBD |     wildly/NN->RB      | popular/JJ *T*-1/-NONE- .
ds/NNS grew/VBD wildly/RB |     popular/NN->JJ     | *T*-1/-NONE- ./.
                          |     Unlike/NN->IN      | traditional/JJ open-end/J
                Unlike/IN |   traditional/NN->JJ   | open-end/JJ mutual/JJ fun
 Unlike/IN traditional/JJ |    open-end/NN->JJ     | mutual/JJ funds/NNS ,/, m
J mutual/JJ funds/NNS ,/, |     most/JJS->RBS      | of/IN these/DT one-countr
, most/RBS of/IN these/DT |   one-country/NN->JJ   | portfolios/NNS are/VBP th
N these/DT one-country/JJ |   portfolios/NN->NNS   | are/VBP the/DT ``/`` clos
/NNS are/VBP the/DT ``/`` |   closed-end/NN->JJ    | ''/'' type/NN ,/, *-1/-NO
'' type/NN ,/, *-1/-NONE- |    issuing/NN->VBG     | a/DT fixed/VBN number/NN 
1/-NONE- issuing/VBG a/DT |     fixed/NN->VBN      | number/NN of/IN shares/NN
of/IN shares/NNS that/WDT |   *T*-38/NN->-NONE-    | trade/VBP publicly/RB ./.
NS that/WDT *T*-38/-NONE- |     trade/NN->VBP      | publicly/RB ./.
T *T*-38/-NONE- trade/VBP |    publicly/NN->RB     | ./.
          The/DT surge/NN |     brings/NN->VBZ     | to/TO nearly/RB 50/CD the
surge/NN brings/VBZ to/TO |     nearly/NN->RB      | 50/CD the/DT number/NN of
try/NN funds/NNS that/WDT |   *T*-39/NN->-NONE-    | are/VBP *RNR*-1/-NONE- or
/VBP *RNR*-1/-NONE- or/CC |      soon/NN->RB       | will/MD be/VB *RNR*-1/-NO
l/MD be/VB *RNR*-1/-NONE- |     listed/NN->VBN     | *-2/-NONE- in/IN New/NNP 
IN New/NNP York/NNP or/CC |     London/NN->NNP     | ./.
These/DT funds/NNS now/RB |    account/NN->VBP     | for/IN several/JJ billion
unt/VBP for/IN several/JJ |    billions/NN->NNS    | of/IN dollars/NNS in/IN a
ral/JJ billions/NNS of/IN |    dollars/NN->NNS     | in/IN assets/NNS ./.
                    ``/`` |     People/NN->NNS     | are/VBP looking/VBG *-1/-
king/VBG *-1/-NONE- to/TO |      stake/NN->VB      | their/PRP$ claims/NNS ''/
to/TO stake/VB their/PRP$ |     claims/NN->NNS     | ''/'' now/RB before/RB th
